era,era_url,poet,poet_url,descr,genre_count,beat_count,poems_count,long_descr,quote
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو وجزة السعدي,https://www.aldiwan.net/cat-poet-Abu-Wajza-AlSaadi,يزيد بن أبي عبيد السُّلمي السعدي. نشأ في بني سعد، فغلب عليه نسبهم، وهو شاعر مشهور من التابعين وهو محدث,"حكمة: 13,رومنسيه: 5,عامه: 1,عتاب: 1,غزل: 1,قصيره: 34,مدح: 13,هجاء: 4","البسيط: 16,الخفيف: 1,الرجز: 13,الطويل: 21,الكامل: 14,المتقارب: 1,الوافر: 6",72, يزيد بن أبي عبيد السُّلمي السعدي. نشأ في بني سعد، فغلب عليه نسبهم، وهو شاعر مشهور من التابعين وهو محدث مقرئ. وسكن المدينة، فانقطع إلى آل الزبير ومات بها. له شعر في قصائد نادرة من كتاب منتهى الطلب في أشعار العرب.,"سَلَّ الهَوى وَلباناتُ الفُؤادِ بِها***وَالقَلبُ شاكي الهَوى مِن حُبِّها شَكِعُ, كَأَنَّهُم يَومَ ذي الغرّاءِ حينَ غَدَت***نُكباً جِمالُهُمُ لِلبَينِ فَاِندَفَعوا"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أعشى همدان,https://www.aldiwan.net/cat-poet-Asha-Hamadan,عبد الرحمن بن عبد الله بن الحارث بن نظام بن جشم الهمداني. شاعر اليمانيين، بالكوفة وفارسهم في عصره. ويعد من,"حزينه: 5,رثاء: 2,رومنسيه: 5,عامه: 1,عتاب: 5,فراق: 2,قصيره: 14,مدح: 16,نصيحة: 1,هجاء: 7","البسيط: 5,الخفيف: 4,الرمل: 3,السريع: 3,الطويل: 23,الكامل: 7,المتقارب: 6,المنسرح: 1,الوافر: 4,مجزوء: 2",58, عبد الرحمن بن عبد الله بن الحارث بن نظام بن جشم الهمداني. شاعر اليمانيين، بالكوفة وفارسهم في عصره. ويعد من شعراء الدولة الأموية. كان أحد الفقهاء القراء، وقال الشعر فعرف به وكان من الغزاة أيام الحجاج، غزا الديلم وله شعر كثير في وصف بلادهم ووقائع المسلمين معهم. ولما خرج عبد الرحمن بن الأشعث انحاز الأعشى إليه واستولى على سجستان معه وقاتل رجال الحجاج الثقفي. ثم جيء به إلى الحجاج أسيراً بعد مقتل الأشعث، فأمر به الحجاج فضربت عنقه.,"تَوَسَّلَ بِالتَقوى إِلى اللَهِ صادِقاً***وَتَقوى إلهي خَيرُ تَكسابِ كاسِبِ, وَخَلّى عَنِ الدُنيا فَلَم يَلتَبِس بِها***وَتابَ إِلى اللَهِ الرَفيعِ المَراتِبِ"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,ابن الدمينة,https://www.aldiwan.net/cat-poet-ibn-aldamaina,عبد الله بن عبيد الله بن أحمد، من بني عامر بن تيم الله، من خثعم، أبو السري، والدمينة أمه. شاعر,"حزينه: 6,دينية: 1,رثاء: 5,رومنسيه: 29,شوق: 7,عامه: 4,عتاب: 16,غزل: 2,فراق: 6,قصيره: 37,مدح: 13,هجاء: 3","البسيط: 10,الرمل: 1,الطويل: 100,الكامل: 7,الوافر: 11",129, عبد الله بن عبيد الله بن أحمد، من بني عامر بن تيم الله، من خثعم، أبو السري، والدمينة أمه. شاعر بدوي، من أرق الناس شعراً. قل أن يرى مادحاً أو هاجياً. أكثر شعره الغزل والنسيب والفخر. كان العباس بن الأحنف يطرب ويترنح لشعره. واختار له أبو تمام في باب النسيب من ديوان الحماسة ستة مقاطيع. وهو من شعراء العصر الأموي. اغتاله مصعب بن عمرو السلولي، وهو عائد من الحج، في تبالة (بقرب بيشة للذاهب من الطائف) أو في سوق العبلاء (من أرض تبالة) له (ديوان شعر - ط) من صنع ثعلب وابن حبيب.,لَئِن ساءَنى أَن نِلتِنى بِمَسَاءِةٍ***لَقَد سَرَّنى أَنّى خَطَرتُ ببالِكِ
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,اسماعيل النسائي,https://www.aldiwan.net/cat-poet-Ismail-Al-Nisai,إسماعيل بن يسار النسائي. شاعر، أصله من سبي فارس، اشتهر بشعوبيته وشدة تعصبه للعجم، يفتخر بهم في شعره على العرب.,"رثاء: 2,رومنسيه: 7,شوق: 1,عامه: 1,عتاب: 6,غزل: 1,قصيره: 1,مدح: 3","البسيط: 2,الخفيف: 4,الرمل: 2,السريع: 1,الطويل: 4,الكامل: 4,الوافر: 5",22, إسماعيل بن يسار النسائي. شاعر، أصله من سبي فارس، اشتهر بشعوبيته وشدة تعصبه للعجم، يفتخر بهم في شعره على العرب. كنيته أبو فايد. وكان من موالي بني تيم بن مرة (تيم قريش) وانقطع إلى آل الزبير. ولما أفضت الخلافة إلى عبد الملك بن مروان وفد إليه مع عروة بن الزبير ومدحه. ومدح الخلفاء من ولده بعده. وعاش عمراً طويلا إلى أن أدرك آخر أيام بني أمية ولم يدرك الدولة العباسية. وله في الأغاني أصوات.,"بانَ الخَليطُ فَهالَتكَ التَهاويلُ***وَالشَوقُ مُحتَضَرٌ وَالقَلبُ مَتبولُ, يُهدى السَلامَ لَنا مِن أَهلِ ناعِمَةٍ***إِنَّ السَلامَ لِأَهلِ الوُدِّ مَبذولُ"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,الأحوص الأنصاري,https://www.aldiwan.net/cat-poet-alahos-alansari,عبدالله بن محمد بن عبد الله بن عاصم الأنصاري، من بني ضبيعة.شاعر هجاء، صافي الديباجة، من طبقة جميل بن معمر,"حزينه: 7,عامه: 66,عتاب: 7,غزل: 12,فراق: 1,قصيره: 108,مدح: 16","البسيط: 44,الخفيف: 17,الرجز: 1,الطويل: 107,الكامل: 18,المتقارب: 4,المديد: 1,المنسرح: 5,الوافر: 12,مجزوء: 8",217," عبدالله بن محمد بن عبد الله بن عاصم الأنصاري، من بني ضبيعة.
شاعر هجاء، صافي الديباجة، من طبقة جميل بن معمر ونصيب. كان معاصراً لجرير والفرزدق. وهو من سكان المدينة. وفد على الوليد بن عبد الملك (في الشام) فأكرمه الوليد، ثم بلغه عنه ما ساءه من سيرته، فرده إلى المدينة وأمر بجلده، فجلد، ونفي إلى (دهلك) وهي جزيرة بين اليمن والحبشة، كان بنو أمية ينفون إليها من يسخطون عليه. فبقي بها إلى مابعد وفاة عمر بن عبد العزيز. وأطلقه يزيد بن عبد الملك. فقدم دمشق فمات فيها. وكان حماد الراوية يقدمه في النسيب على شعراء زمنه. ولقب بالأحوص لضيق في مؤخر عينيه. له (ديوان شعر - ط) وأخباره كثيرة. ولابن بسام، الحسن بن علي المتوفي سنة 303هـ، كتاب (أخبار الأحوص). ","مَن يَأمَنُ الدَهرَ أَو يَرجو الخُلودَ بِهِ***بَعدَ الَّذينَ مَضَوا في سالِفِ الأُمَمِ, لَيسَ امرُؤٌ كانَ في عَيشٍ يُسَرُّ بِهِ***يَوماً بِأَخلَدَ مِن عادٍ وَمِن إِرَمِ"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,الأخضر اللهبي,https://www.aldiwan.net/cat-poet-Al-Akhdar-al-Lahbi,الفضل بن العباس بن عتبة بن أبي لهب، من قريش. شاعر من فصحاء بني هاشم، كان معاصراً للفرزدق والأحوص، وله,"حزينه: 5,رثاء: 2,رومنسيه: 1,شوق: 1,عتاب: 7,قصيره: 21,مدح: 13,نصيحة: 1,هجاء: 4","البسيط: 12,الخفيف: 3,الرمل: 2,السريع: 1,الطويل: 17,الكامل: 5,المتقارب: 1,المنسرح: 2,الوافر: 12",55, الفضل بن العباس بن عتبة بن أبي لهب، من قريش. شاعر من فصحاء بني هاشم، كان معاصراً للفرزدق والأحوص، وله معهما أخبار. ومدح عبد الملك بن مروان، وهو أول هاشمي مدح أموياً بعد ما كان بينهما، فأكرمه. وكان شديد السمرة، جاءته من جدته وكانت حبشية. ويقال له (الأخضر) لذلك واللهبي نسبة إلى أبي لهب. في شعره رقة وهو دون الطبقة الأولى من معاصريه. توفي في خلافة الوليد بن عبد الملك.,"أعيني ألا تبكيا لمصيبتي***وكل عيون الناس عني أصبرُ, بكيت لفقد الأكرمين تتابعوا***وصلّوا المنايا دارعون وحسر"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,الأخطل,https://www.aldiwan.net/cat-poet-akhtal,غياث بن غوث بن الصلت بن طارقة ابن عمرو، من بني تغلب، أبو مالك.شاعر، مصقول الألفاظ، حسن الديباجة، في شعره,"ذم: 1,عامه: 101,عتاب: 2,غزل: 10,قصيره: 52,مدح: 9,هجاء: 11","البسيط: 32,الخفيف: 1,الرمل: 1,الطويل: 96,الكامل: 15,المتقارب: 4,المديد: 1,الوافر: 36",186," غياث بن غوث بن الصلت بن طارقة ابن عمرو، من بني تغلب، أبو مالك.
شاعر، مصقول الألفاظ، حسن الديباجة، في شعره إبداع. اشتهر في عهد بني أمية بالشام، وأكثر من مدح ملوكهم. وهو أحد الثلاثة المتفق على أنهم أشعر أهل عصرهم: جرير، والفرزدق، والأخطل. نشأ على المسيحية، في أطراف الحيرة (بالعراق) واتصل بالأمويين فكان شاعرهم، وتهاجى مع جرير والفرزدق، فتناقل الرواة شعره. وكان معجباً بأدبه، تيّاهاً، كثير العناية بشعره، ينظم القصيدة ويسقط ثلثيها ثم يظهر مختارها. وكانت إقامته طوراً في دمشق مقر الخلفاء من بني أمية. وحيناً في الجزيرة حيث يقيم بنو تغلب قومه. وأخباره مع الشعراء والخلفاء كثيرة. له (ديوان شعر - ط) ولعبد الرحيم بن محمود مصطفى (رأس الأدب المكلل في حياة الأخطل - ط) ولفؤاد البستاني (الأخطل - ط) ومثله لحنا نمر.","وَلَو يُجَمَّعُ رِفدُ الناسِ كُلِّهِمِ***لَم يَرفِدِ الناسُ إِلّا دونَ ما رَفَدوا, فَالمُسلِمونَ بِخَيرٍ ما بَقيتَ لَهُم***وَلَيسَ بَعدَكَ خَيرٌ حينَ تُفتَقَدُ"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,الأقيشر الأسدي,https://www.aldiwan.net/cat-poet-Al-Uqayshir-Al-Assadi,المغيرة بن عبد الله بن مُعرض، الأسدي، أبو معرض. شاعر هجاء، عالي الطبقة من أهل بادية الكوفة، كان يتردد إلى,"حزينه: 2,رحمة: 1,عامه: 11,قصيره: 6,مدح: 4,هجاء: 24","البسيط: 5,الخفيف: 6,الرمل: 4,السريع: 2,الطويل: 12,الكامل: 8,المتقارب: 4,الوافر: 7",48, المغيرة بن عبد الله بن مُعرض، الأسدي، أبو معرض. شاعر هجاء، عالي الطبقة من أهل بادية الكوفة، كان يتردد إلى الحيرة. ولد في الجاهلية ونشأ في أول الإسلام وعاش وعّمر طويلاً وكان (عثمانياً) من رجال عثمان بن عفان (رضي الله عنه)، وأدرك دولة عبد الملك بن مروان وقتل بظاهر الكوفة خنقاً بالدخان. لُقّب بالأقيشر لأنه كان أحمر الوجه أَقشر وكان يغضب إذا دُعي به، قال المرزباني: هو أحد مُجّان الكوفة وشعرائهم، هجا عبد الملك ورثى مصعب بن الزبير.,وَلا خَيرَ في الدُّنيا إِذ أَنتَ لَم تَزُرْ***حَبيباً وَلَم يَطرَبْ إِلَيكَ حَبيبُ
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,البعيث المجاشعي,https://www.aldiwan.net/cat-poet-Al-Baith-bin-Al-Majashi,خداش بن بشر بن خالد، أبو زيد التميمي. المعرف بالبعيث المجاشعي خطيب، شاعر، من أهل البصرة. قال فيه الجاحظ: أخطب,"حكمة: 1,ذم: 3,رومنسيه: 1,شوق: 1,عامه: 7,قصيره: 63,مدح: 1,هجاء: 8",,85, خداش بن بشر بن خالد، أبو زيد التميمي. المعرف بالبعيث المجاشعي خطيب، شاعر، من أهل البصرة. قال فيه الجاحظ: أخطب بني تميم إذا أخذ القناة. وكانت بينه وبين جرير مهاجاة دامت نحو أربعين سنة، ولم يتهاج شاعران في العرب في جاهلية ولا إسلام بمثل ما تهاجيا به. توفي بالبصرة.,وَلا خَيرَ في الدُّنيا إِذ أَنتَ لَم تَزُرْ***حَبيباً وَلَم يَطرَبْ إِلَيكَ حَبيبُ
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,الحارث المخزومي,https://www.aldiwan.net/cat-poet-Al-Makhzumi-Al-Harith,الحارث بن خالد بن العاص بن هشام المخزومي، من قريش. شاعر غزل، من أهل مكة. نشأ في أواخر أيام عمر,"حزينه: 1,ذم: 1,رثاء: 18,رومنسيه: 1,عامه: 1,قصيره: 11,مدح: 1,هجاء: 15","البسيط: 8,الخفيف: 4,الرمل: 1,السريع: 1,الطويل: 16,الكامل: 13,المتقارب: 1,الوافر: 4,مجزوء: 1",49, الحارث بن خالد بن العاص بن هشام المخزومي، من قريش. شاعر غزل، من أهل مكة. نشأ في أواخر أيام عمر بن أبي ربيعة. وكان يذهب مذهبه، لا يتجاوز الغزل إلى المديح ولا الهجاء. وكان يهوى عائشة بنت طلحة ويشبب بها. وله معها أخبار كثيرة. وكان ذا خطر وقدر ومنظر في قريش، ولاه يزيد بن معاوية إمارة مكة، فظهرت دعوة عبد الله بن الزبير، فاستتر الحارث خوفاً، ثم رحل إلى دمشق وافداً على عبد الملك بن مروان، فلم ير عنده ما يحب، فعاد إلى مكة، وتوفي بها. جمع الدكتور يحيى الجبوري ما وجد من شعره في كتاب(شعر الحارث بن خالد المخزومي - ط). ,"أرى الدهر بالتفريق والبين مولعا***وللجمع ما بين المحبين آبيا, فأُفٌ عليه من زمانٍ كأنني***خلقت وإياه نُطيل التعاديا"
